timestamp,city,temperature,precipitation,wind_speed,humidity,country,wetbulb_temperature,climate_region,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%)
2022-08-20 00:00:00,Maputo,14.2,0.0,13.3,71,Mozambique,51.77485689353632,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.538383271971716,1.17791765376818,4.666931194264016,0.37
2022-08-20 01:00:00,Maputo,14.0,0.0,11.4,71,Mozambique,51.43836897657086,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.5345537795817847,1.1769275040654257,4.666931194264016,0.37
2022-08-20 02:00:00,Maputo,13.9,0.0,9.5,70,Mozambique,51.07729685699783,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.5303967455243723,1.1759937685405486,4.666931194264016,0.37
2022-08-20 03:00:00,Maputo,13.7,0.0,7.6,70,Mozambique,50.74189991490951,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.5264910212040472,1.1752458422846712,4.666931194264016,0.37
2022-08-20 04:00:00,Maputo,13.6,0.0,6.4,68,Mozambique,50.192226530029394,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.519997790178087,1.1742687838600965,4.666931194264016,0.37
2022-08-20 05:00:00,Maputo,13.6,0.0,5.2,67,Mozambique,50.00141334042948,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.5177169455730175,1.174001838363696,4.666931194264016,0.37
2022-08-20 06:00:00,Maputo,13.5,0.0,4.0,65,Mozambique,49.45521062484831,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.5111117029720935,1.1734434956531306,4.666931194264016,0.37
2022-08-20 07:00:00,Maputo,15.2,0.0,6.1,58,Mozambique,50.85360417680722,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.5277965639187288,1.175482166244196,4.666931194264016,0.37
2022-08-20 08:00:00,Maputo,17.0,0.0,8.3,52,Mozambique,52.45308112061804,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.5459715043519808,1.180265206147194,4.666931194264016,0.37
2022-08-20 09:00:00,Maputo,18.7,0.0,10.4,45,Mozambique,53.47928787691463,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.557121469437074,1.1847113772794724,4.666931194264016,0.37
2022-08-20 10:00:00,Maputo,21.5,0.0,14.9,40,Mozambique,56.37210731792396,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.58640309542506,1.2030403773675875,4.666931194264016,0.37
2022-08-20 11:00:00,Maputo,23.0,0.0,15.8,35,Mozambique,57.10402529441617,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.5933086868272992,1.2090340529388908,4.666931194264016,0.37
2022-08-20 12:00:00,Maputo,25.2,0.0,15.7,30,Mozambique,58.5421166671627,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.6062852920826132,1.2224058691251614,4.666931194264016,0.37
2022-08-20 13:00:00,Maputo,26.2,0.0,11.0,29,Mozambique,59.54001946004695,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.614828963567848,1.2329273450256364,4.666931194264016,0.37
